experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13785-INFO-EMP-LINKEDIN-FR-1451404661.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;Valuetis;Ventes;NULL;NULL;Consultant décisionnel;Temps plein
NULL;13786-INFO-EMP-LINKEDIN-FR-1590048437.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;Everwin;Ventes;NULL;NULL;Consultant Decisionnel BI (H/F);Temps plein
NULL;13787-INFO-EMP-LINKEDIN-FR-1418691215.html;Ingénierie;NULL;Région de Lyon, France;NULL;Confirmé;NULL;Smile Open Source Solutions;Technologies et services de l’information;NULL;NULL;CONSULTANT DÉCISIONNEL H/F;Temps plein
NULL;13788-INFO-EMP-LINKEDIN-FR-1599912507.html;Technologies de l’information;NULL;Lyon, FR;NULL;Confirmé;NULL;Astek;Conseil;NULL;NULL;Consultant MS BI (F/H);Temps plein
NULL;13789-INFO-EMP-LINKEDIN-FR-1582115820.html;Conseil;NULL;Région de Paris, France;NULL;Confirmé;NULL;Eversa;Réseaux informatiques;NULL;NULL;Consultant Décisionnel Microsoft BI – MSBI (H/F);Temps plein
NULL;13790-INFO-EMP-LINKEDIN-FR-1644124886.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;Alteca;Ventes;NULL;NULL;Consultant décisionnel BI (F/H);Temps plein
NULL;13791-INFO-EMP-LINKEDIN-FR-1468925298.html;Développement commercial;NULL;Aix-en-Provence, FR;NULL;Confirmé;NULL;Micropole;Ventes;NULL;NULL;Consultant Décisionnel H/F;Temps plein
NULL;13792-INFO-EMP-LINKEDIN-FR-1540456511.html;Développement commercial;NULL;Saint-Ouen, FR;NULL;Confirmé;NULL;Gfi world;Ventes;NULL;NULL;Consultant décisionnel Informatica H/F;Temps plein
NULL;13793-INFO-EMP-LINKEDIN-FR-1644761324.html;Développement commercial;NULL;Aix-en-Provence, FR;NULL;Confirmé;NULL;BeMore Holding;Ventes;NULL;NULL;Consultant / Consultante décisionnel - Business Intelligence;Temps plein
NULL;13794-INFO-EMP-LINKEDIN-FR-1599956301.html;Conseil;NULL;Région de Paris, France;NULL;Confirmé;NULL;Blue Talent;Assurances;NULL;NULL;Consultant Décisionnel COGNOS / DATASTAGE confirmé F/H;Temps plein
NULL;13570-INFO-EMP-LINKEDIN-FR-1589595331.html;Secteur industriel;NULL;Sainte-Julie, FR;NULL;Non pertinent;NULL;Plastic Omnium;Ingénierie;NULL;NULL;Data Analytics Project Manager - Industry 4.0;Temps plein
NULL;13795-INFO-EMP-LINKEDIN-FR-1636557107.html;Ingénierie;NULL;Mérignac, FR;NULL;Premier emploi;NULL;BNP Paribas Personal Finance;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel H/F;Temps plein
NULL;13796-INFO-EMP-LINKEDIN-FR-1647505593.html;Ingénierie;NULL;Paris, FR;NULL;Premier emploi;NULL;Alteca;Technologies de l’information;NULL;NULL;Stage - Ingénieur d'études décisionnel H/F;Temps plein
NULL;13797-INFO-EMP-LINKEDIN-FR-1437107058.html;Ingénierie;NULL;Montpellier, FR;NULL;Premier emploi;NULL;Gfi world;Technologies de l’information;NULL;NULL;INGENIEUR DECISIONNEL H/F;Temps plein
NULL;13798-INFO-EMP-LINKEDIN-FR-1497591308.html;Ingénierie;NULL;Niort, FR;NULL;Premier emploi;NULL;Micropole;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel - H/F;Temps plein
NULL;13799-INFO-EMP-LINKEDIN-FR-1555991658.html;Ingénierie;NULL;Toulouse, FR;NULL;Premier emploi;NULL;OPEN;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel (H/F);Temps plein
NULL;monTest.html;Ingénierie;NULL;Toulouse, FR;NULL;Premier emploi;NULL;OPEN;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel (H/F);Temps plein
NULL;13571-INFO-EMP-LINKEDIN-FR-1583080186.html;Technologies de l’information;NULL;Lyon, FR;NULL;Premier emploi;NULL;Carriere-info.fr;Technologies et services de l’information;NULL;NULL;Data Steward / Data engineeer;Temps plein
NULL;13572-INFO-EMP-LINKEDIN-FR-1602644857.html;Technologies de l’information;NULL;Lyon, FR;NULL;Premier emploi;NULL;DCS EASYWARE;Technologies et services de l’information;NULL;NULL;Data Analyst confirmé F/H;Temps plein
NULL;13573-INFO-EMP-LINKEDIN-FR-1602929951.html;Technologies de l’information;NULL;Lyon, FR;NULL;Premier emploi;NULL;INTITEK;Technologies et services de l’information;NULL;NULL;Data Analyst F/H;Temps plein
NULL;13574-INFO-EMP-LINKEDIN-FR-1634138009.html;Technologies de l’information;NULL;Écully, FR;NULL;Confirmé;NULL;Feu Vert;Industrie automobile;NULL;NULL;DATA ANALYST JUNIOR (H/F);Temps plein
NULL;13548-INFO-EMP-LINKEDIN-FR-1638675310.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;CELAD;Technologies de l’information;NULL;NULL;Ingénieur Expert(e) Talend F/H;Temps plein
